MODEL_NAME	TASK_TYPE	TIME(S)	BIN_SIZE/START_POINT
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	1687.07	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	767.43	G_1_2
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1066.91	G_1_1
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1062.75	G_1_1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	45.56	10000000/1
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	709.38	G_1_2
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.01	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.01	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	1798.45	10000000/1
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1011.43	G_1_1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	46.6	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.02	NA
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	865.14	G_1_2
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	828.11	G_1_2
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.01	NA
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	878.17	G_1_2
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	533.21	G_1_3
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	822.17	G_1_2
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	875.93	G_1_2
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	705.85	G_1_3
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	813.82	G_1_2
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	2122.58	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	879.91	G_1_2
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	783.26	G_1_2
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	54.5	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.02	NA
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1158.54	G_1_2
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1013.11	G_1_2
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	856.12	G_1_2
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.01	NA
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	837.26	G_1_2
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	875.25	G_1_3
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	712.01	G_1_3
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	704.79	G_1_3
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1042.06	G_1_2
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	951.13	G_1_2
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	883.67	G_1_1
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	938.74	G_1_2
