MODEL_NAME	TASK_TYPE	TIME(S)	BIN_SIZE/START_POINT
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	815.69	G_1_4
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1059.68	G_1_4
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	812.48	G_1_6
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	714.57	G_1_6
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	894.71	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1053.31	G_1_2
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1023.32	G_1_4
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	952.75	G_1_5
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1032.97	G_1_3
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	774.82	G_1_3
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1130.82	G_1_4
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	863.92	G_1_6
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	838.11	G_1_7
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	877.86	G_1_5
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1134.95	G_1_4
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1135.13	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	739.15	G_1_4
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	965.09	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	730.75	G_1_4
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	882.91	G_1_5
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	526.17	G_1_9
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	868.6	G_1_5
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	968.13	G_1_3
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	966.91	G_1_5
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	827.27	G_1_6
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	652.77	G_1_7
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	850.13	G_1_6
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	797.12	G_1_6
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	867.97	G_1_6
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	590.99	G_1_7
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	780.21	G_1_6
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	989.78	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	959.02	G_1_3
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	692.97	G_1_7
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	744.75	G_1_7
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	779.91	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1046.68	G_1_2
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	891.89	G_1_2
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	823.68	G_1_5
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	832.86	G_1_5
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1043.61	G_1_5
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1059.07	G_1_5
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	616.79	G_1_8
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	956.07	G_1_6
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	584.5	G_1_10
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	5425.802654981613	ALL_RUN
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	936.87	G_1_5
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	782.08	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	856.64	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	721.08	G_1_5
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	711.9	G_1_5
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	937.52	G_1_4
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1052.8	G_1_6
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	623.81	G_1_8
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	800.41	G_1_6
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1015.07	G_1_5
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	935.79	G_1_6
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	621.06	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	818.37	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1179.95	G_1_3
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	965.08	G_1_5
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	659.24	G_1_8
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	962.22	G_1_6
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1008.38	G_1_5
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	920.79	G_1_6
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1078.61	G_1_5
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	757.73	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	6119.33	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	805.83	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	52.01	10000000/1
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	762.35	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.02	NA
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	930.33	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	810.02	G_1_4
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	645.17	G_1_9
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	952.01	G_1_7
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	895.32	G_1_5
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	834.66	G_1_7
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	845.99	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	824.31	G_1_3
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	870.27	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	639.43	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	673.29	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.01	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	773.38	G_1_5
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1020.1	G_1_6
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	719.75	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1111.02	G_1_3
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	684.63	G_1_8
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	999.33	G_1_7
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	622.73	G_1_9
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1076.33	G_1_6
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1140.43	G_1_6
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	994.64	G_1_8
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	670.34	G_1_8
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	594.33	G_1_10
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	6583.4215223789215	ALL_RUN
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1009.63	G_1_5
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	889.43	G_1_5
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1116.26	G_1_6
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	998.57	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	976.5	G_1_4
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	869.96	G_1_7
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	980.15	G_1_7
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	902.39	G_1_6
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	739.34	G_1_9
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	831.72	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	638.09	G_1_7
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	791.33	G_1_8
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1139.68	G_1_6
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1068.99	G_1_6
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1200.39	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	664.42	G_1_7
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1063.82	G_1_6
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	931.36	G_1_8
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	918.53	G_1_8
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1335.54	G_1_7
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1187.44	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1184.64	G_1_5
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	910.92	G_1_1
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	847.11	G_1_9
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	876.39	G_1_8
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1275.37	G_1_6
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	898.52	G_1_10
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	7242.641907215118	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1045.95	G_1_6
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	871.18	G_1_9
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1034.66	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1091.73	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	841.96	G_1_6
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	905.13	G_1_9
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1311.1	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	691.83	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	959.98	G_1_1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	655.73	G_1_8
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1252.26	G_1_7
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	775.53	G_1_10
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	7568.13734459877	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1482.16	G_1_4
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1001.5	G_1_6
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	873.81	G_1_8
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	934.13	G_1_10
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	7684.349141597748	ALL_RUN
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	926.85	G_1_9
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1296.27	G_1_7
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1341.91	G_1_7
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1149.09	G_1_7
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1048.12	G_1_8
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	942.43	G_1_8
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	929.54	G_1_9
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	869.98	G_1_9
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1119.74	G_1_7
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1001.09	G_1_8
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1378.68	G_1_10
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	7978.102938890457	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1355.45	G_1_5
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	803.39	G_1_9
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1271.63	G_1_7
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1304.31	G_1_7
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	762.35	G_1_10
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	8091.089097738266	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1029.89	G_1_2
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	989.07	G_1_10
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	7817.46201634407	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	894.82	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	737.84	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	799.98	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1096.35	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	726.54	G_1_9
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1378.15	G_1_7
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	902.08	G_1_9
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1073.55	G_1_7
