label,x,y,plot_type,plot_num
G_1,0.0,45907.23802819606,path,0
G_1,0.06675060700871648,45907.23802819606,path,0
G_1,0.0775003608099365,45889.79219149699,path,0
G_1,0.08998129297739585,45871.54516886294,path,0
G_1,0.10447219859711747,45838.76346775556,path,0
G_1,0.12129677090167384,45702.43371785917,path,0
G_1,0.14083083182647885,45649.98406010887,path,0
G_1,0.16351072700043523,45730.53174760048,path,0
G_1,0.1898430726955632,46130.33173307573,path,0
G_1,0.22041607245986392,48796.03051096766,path,0
G_1,0.25591265622075776,51095.613122927716,path,0
G_1,0.2971257353562049,52960.66873200858,path,0
G_1,0.34497591449642645,51919.938790023094,path,0
G_1,0.4005320556968063,44731.24096832196,path,0
G_1,0.4650351543379164,30940.74853848076,path,0
G_1,0.5399260600849174,15954.007379761588,path,0
G_1,0.6268776621282904,6123.003011270871,path,0
G_1,0.7278322576495497,2010.211805457161,path,0
G_1,0.8450449382368157,2010.211805457161,path,0
G_1,0.9811339634021841,2010.211805457161,path,0
G_1,1.1391392464284698,787.5318729242026,path,0
G_1,1.3225902589835201,787.5318729242026,path,0
G_1,1.535584871333757,787.5318729242026,path,0
G_1,1.7828808892645056,787.5318729242026,path,0
G_1,2.0700023324296715,787.5318729242026,path,0
G_1,2.403362828142681,787.5318729242026,path,0
G_1,2.7904088769398676,787.5318729242026,path,0
G_1,3.2397861901368135,787.5318729242026,path,0
G_1,3.761532814972979,787.5318729242026,path,0
G_1,4.367303361312567,787.5318729242026,path,0
G_1,5.070629338606226,787.5318729242026,path,0
G_1,5.8872214184376785,787.5318729242026,path,0
G_1,6.835320374499752,787.5318729242026,path,0
G_1,7.936104539185175,787.5318729242026,path,0
G_1,9.214162878427612,787.5318729242026,path,0
G_1,10.698044252188044,787.5318729242026,path,0
G_1,12.420895129792205,787.5318729242026,path,0
G_1,14.42120000520109,787.5318729242026,path,0
G_1,16.743641051374947,787.5318729242026,path,0
G_1,19.44009621641602,787.5318729242026,path,0
G_1,22.570798056643643,787.5318729242026,path,0
G_1,26.205679192245743,787.5318729242026,path,0
G_1,30.425934439866314,787.5318729242026,path,0
G_1,35.325834516548944,787.5318729242026,path,0
G_1,41.01483182897714,787.5318729242026,path,0
G_1,47.6200053864606,787.5318729242026,path,0
G_1,55.28889945135462,787.5318729242026,path,0
G_1,64.19281933578138,787.5318729242026,path,0
G_1,74.53065796510997,787.5318729242026,path,0
G_1,86.53333868475112,787.5318729242026,path,0
G_1,100.46897355226906,787.5318729242026,path,0
G_1,116.64885233909627,787.5318729242026,path,0
G_1,135.4343960222631,787.5318729242026,path,0
G_1,157.24523009102498,787.5318729242026,path,0
G_1,182.56855800733845,787.5318729242026,path,0
G_1,211.97004420155918,787.5318729242026,path,0
G_1,246.10644970425255,787.5318729242026,path,0
G_1,285.74030266483413,626.3188825834,path,0
G_1,331.756931462411,626.3188825834,path,0
G_1,385.18424088902674,626.3188825834,path,0
G_1,447.21567315939,732.9339327634814,path,0
G_1,519.236866642807,925.6159837148249,path,0
G_1,602.8566078115753,1078.877057818442,path,0
G_1,699.9427678006043,1172.2165050617862,path,0
G_1,812.6640263176746,1250.0030574317655,path,0
G_1,943.5383149197608,1377.3859610544919,path,0
G_1,1095.4890617658675,1377.3859610544919,path,0
G_1,1271.9104942237725,1819.0165256672055,path,0
G_1,1476.7434580394872,1819.0165256672055,path,0
G_1,1714.5634466938802,6895.436643631518,path,0
G_1,1990.6828073181762,6895.436643631518,path,0
G_1,2311.2694062115347,6895.436643631518,path,0
G_1,2683.4844046732155,6895.436643631518,path,0
G_1,3115.642222741951,6895.436643631518,path,0
G_1,3617.396264061581,66028.42133267324,path,0
G_1,4199.95455053584,66028.42133267324,path,0
G_1,4876.330083550509,66028.42133267324,path,0
G_1,5661.631524252099,66028.42133267324,path,0
G_1,6573.400686006518,66028.42133267324,path,0
G_1,7632.004377836805,66028.42133267324,path,0
G_1,8861.08935171374,66028.42133267324,path,0
G_1,10288.11051616692,66028.42133267324,path,0
G_1,11944.944215283622,66028.42133267324,path,0
G_1,13868.600272326472,82615.74204102554,path,0
G_1,16102.048703373288,82615.74204102554,path,0
G_1,18695.179567844887,82615.74204102554,path,0
G_1,21705.917396756144,82615.74204102554,path,0
G_1,25201.515092433645,82615.74204102554,path,0
G_1,29260.056202419542,68013.68322331278,path,0
G_1,33972.19912487713,68013.68322331278,path,0
G_1,39443.20220700287,68013.68322331278,path,0
G_1,45795.27497244821,69163.53131242454,path,0
G_1,53170.30799872016,69163.53131242454,path,0
G_1,61733.04242369168,69163.53131242454,path,0
G_1,71674.7498806486,74585.1500620792,path,0
G_1,83217.50506309021,74585.1500620792,path,0
G_1,96619.14635847458,66687.68036819056,path,0
G_1,112179.03535996363,62348.81695407838,path,0
G_1,130244.74391030677,53562.34296454757,path,0
G_1,151219.81805091948,53219.9654823465,path,0
G_1,175572.79230477766,77196.96101430549,path,0
